,X,Y,Z,M200c,Density,Contrast
7562,61.53119,7.83004,56.96119,2.278e+11,1125.94989474,1.19912088816
7563,30.60882,58.86846,37.36986,26800000000.0,1126.00593166,1.19923033527
7564,27.35353,3.47717,8.30184,72590000000.0,1126.61860202,1.20042695707
7565,52.09358,37.98438,47.12848,30630000000.0,1126.70826109,1.20060207245
7566,27.94628,63.15102,30.71677,38290000000.0,1126.74935484,1.20068233367
7567,29.17469,24.94685,39.79382,34460000000.0,1126.78297699,1.20074800194
7568,3.71109,28.02574,8.64154,1.28e+11,1127.10425535,1.20137549873
7569,37.7646,15.51133,59.32219,29130000000.0,1127.17523545,1.20151413174
7570,29.4192,57.99359,41.96999,7.059e+11,1127.19391443,1.20155061412
7571,32.44289,57.86988,16.2034,67590000000.0,1127.20138602,1.20156520706
7572,10.96729,0.23409,50.61277,46280000000.0,1127.58617289,1.20231674392
7573,14.70193,48.29629,51.13413,32300000000.0,1127.67209617,1.20248456283
7574,57.27558,1.61367,40.59594,90740000000.0,1127.93733761,1.20300261251
7575,1.34023,62.04024,23.40811,39960000000.0,1128.00084612,1.20312665258
7576,23.89197,59.18663,47.54265,44790000000.0,1128.02699668,1.2031777279
7577,9.77386,5.79126,54.29565,26140000000.0,1128.05688304,1.20323609969
7578,15.10627,43.57574,11.7394,31960000000.0,1128.41925514,1.2039438577
7579,45.2179,39.33406,13.27118,53610000000.0,1128.55747955,1.20421382726
7580,5.64494,39.11621,50.87492,22310000000.0,1128.56868694,1.20423571668
7581,31.85638,58.61962,13.41028,26640000000.0,1129.89489412,1.20682596507
7582,29.13031,44.47603,61.65105,27800000000.0,1129.94719525,1.20692811572
7583,31.71728,58.54023,13.7718,36130000000.0,1129.96587422,1.20696459809
7584,37.65369,60.15255,35.82251,46620000000.0,1130.09662704,1.20721997469
7585,60.77329,1.12958,28.60514,25470000000.0,1130.19002191,1.20740238655
7586,51.72636,47.2627,37.97844,1.165e+11,1130.35813268,1.20773072789
7587,7.8023,52.37602,46.52253,1.73e+11,1130.46273494,1.20793502918
7588,56.62636,33.29744,51.20225,24970000000.0,1130.5636014,1.20813203398
7589,32.46026,57.91856,16.20847,2.111e+11,1130.75786273,1.20851145065
7590,37.6326,60.11721,35.79461,1.264e+11,1130.80642807,1.20860630482
7591,52.95992,37.64878,47.43768,28640000000.0,1130.89982294,1.20878871668
7592,41.00068,38.00897,47.89734,2.039e+11,1130.98574622,1.20895653559
7593,55.92236,36.94093,45.01507,28140000000.0,1131.05299053,1.20908787212
7594,40.98343,37.97562,47.86427,23970000000.0,1131.17627176,1.20932865578
7595,27.70136,3.13709,8.26547,66100000000.0,1131.29955299,1.20956943943
7596,29.67856,29.40462,41.58891,2.772e+11,1131.33691094,1.20964240418
7597,45.26163,61.58537,10.45058,31630000000.0,1131.39668366,1.20975914776
7598,3.75011,28.02509,8.62249,62270000000.0,1131.64698191,1.21024801155
7599,8.01715,53.74087,46.46991,57440000000.0,1131.68807566,1.21032827276
7600,27.71633,3.12807,8.25755,62760000000.0,1131.70675463,1.21036475514
7601,45.34978,39.52688,13.03402,8.732e+11,1131.74784837,1.21044501635
7602,45.38068,39.57563,12.99112,5.879e+11,1131.76279155,1.21047420225
7603,45.38965,39.5353,13.06527,45450000000.0,1131.79267791,1.21053257405
7604,3.74936,28.03224,8.64276,45950000000.0,1131.98693924,1.21091199071
7605,48.56165,50.94625,32.37003,65930000000.0,1132.05791935,1.21105062373
7606,62.83013,7.02056,24.17747,69090000000.0,1132.28580283,1.21149570866
7607,62.80146,7.04209,24.21974,46280000000.0,1132.31942499,1.21156137693
7608,57.20425,1.6672,40.68872,29470000000.0,1132.3829335,1.21168541699
7609,53.36264,37.34695,47.81522,23470000000.0,1132.43523463,1.21178756764
7610,8.01515,53.71417,46.4408,35290000000.0,1132.79387094,1.21248802917
7611,28.43106,1.93252,9.87267,24310000000.0,1132.99186806,1.21287474231
7612,52.9138,37.63767,47.43091,88400000000.0,1133.14503565,1.21317389776
7613,30.85329,12.60672,46.70217,32470000000.0,1133.23095894,1.21334171667
7614,37.60989,60.16159,35.79181,26800000000.0,1133.42148447,1.21371383687
7615,8.96247,2.25924,51.78286,2.787e+11,1133.44016345,1.21375031924
7616,25.55416,51.79564,48.87286,2.128e+11,1133.51861514,1.2139035452
7617,55.80904,47.73122,15.79669,25140000000.0,1133.61201001,1.21408595706
7618,62.38638,36.48223,44.43776,98560000000.0,1133.65310376,1.21416621828
7619,28.38563,1.87805,9.77029,1.72e+11,1133.71287647,1.21428296186
7620,5.10741,0.70749,47.68284,57270000000.0,1133.79132817,1.21443618783
7621,51.0646,48.23646,38.01544,23640000000.0,1133.8398935,1.21453104199
7622,60.14987,49.57176,13.82539,27640000000.0,1133.84736509,1.21454563494
7623,28.48675,62.64169,28.07903,60770000000.0,1133.86604406,1.21458211731
7624,45.91741,39.74402,12.98173,95730000000.0,1134.1350213,1.21510746347
7625,28.38942,1.88366,9.7708,6.112e+11,1134.23962355,1.21531176475
7626,58.558,28.30824,3.07321,29640000000.0,1134.41147012,1.21564740257
7627,28.39012,1.88579,9.76962,1.755e+11,1134.44509227,1.21571307084
7628,32.46031,57.94997,16.21137,4.357e+11,1134.46377124,1.21574955321
7629,58.53063,28.25382,3.06093,99560000000.0,1134.48618601,1.21579333206
7630,45.13437,61.37628,10.54617,36290000000.0,1134.55343032,1.21592466859
7631,45.85682,40.34474,13.14763,1.888e+11,1134.57210929,1.21596115097
7632,56.98061,40.48013,41.51665,29470000000.0,1134.77757801,1.21636245706
7633,10.31075,38.48342,0.42267,93900000000.0,1134.99425412,1.21678565257
7634,41.03406,37.96552,47.89161,3.654e+11,1135.0017257,1.21680024552
7635,45.11833,61.45847,10.51075,32960000000.0,1135.0801774,1.21695347148
7636,41.03967,37.98552,47.90166,1.477e+11,1135.56583073,1.21790201314
7637,62.37107,36.47889,44.44183,57770000000.0,1135.83107217,1.21842006282
7638,15.33181,43.42056,11.50315,21480000000.0,1136.17476529,1.21909133846
7639,28.51364,10.76645,58.9283,45780000000.0,1136.21212324,1.21916430321
7640,7.95041,53.26516,46.60263,94900000000.0,1136.21585904,1.21917159968
7641,8.04537,53.44466,46.63015,25470000000.0,1136.28683914,1.2193102327
7642,50.54411,48.45272,38.0644,67090000000.0,1136.29431073,1.21932482564
7643,41.11465,37.90889,47.93554,38790000000.0,1136.36529083,1.21946345866
7644,21.20205,3.86898,49.27957,37290000000.0,1136.85094417,1.22041200032
7645,10.562,38.43791,0.4854,77080000000.0,1138.02024796,1.2226957968
7646,11.25716,41.33541,2.68502,37130000000.0,1138.44612857,1.22352759487
7647,50.12503,48.70881,5.02364,42450000000.0,1138.6441257,1.22391430801
7648,7.94515,52.87782,46.70824,48280000000.0,1138.67774786,1.22397997628
7649,29.18919,44.51521,61.86242,21640000000.0,1138.69642683,1.22401645865
7650,50.53759,48.42298,38.04905,34460000000.0,1138.9355177,1.22448343301
7651,44.80315,39.14661,13.20409,1.064e+11,1138.98034724,1.2245709907
7652,28.63074,11.01822,58.88892,1.299e+11,1139.13351483,1.22487014615
7653,10.92037,26.53921,17.74467,22980000000.0,1139.21196652,1.22502337211
7654,27.46254,5.13042,5.81479,2.526e+11,1139.76486416,1.22610325032
7655,11.26826,41.32493,2.67926,39790000000.0,1140.07119934,1.22670156122
7656,27.47962,5.143,5.82256,2.577e+11,1140.12723627,1.22681100833
7657,8.92935,2.29282,51.68858,24640000000.0,1140.26919647,1.22708827436
7658,30.86427,12.63509,46.77602,1.756e+11,1140.61662539,1.22776684647
7659,59.64775,49.89405,14.19195,34630000000.0,1140.62783278,1.2277887359
7660,10.83277,38.47107,0.26944,23970000000.0,1140.72496345,1.22797844423
7661,25.73431,52.22929,48.85303,38290000000.0,1141.44223606,1.2293793673
7662,10.58712,38.48383,0.50942,1.583e+11,1141.64770478,1.22978067339
7663,28.63521,11.03948,58.9119,5.972e+11,1141.7747218,1.23002875352
7664,9.69927,43.52387,10.19586,31470000000.0,1141.8494377,1.23017468301
7665,32.56806,58.92713,17.90275,1.057e+11,1141.95777575,1.23038628077
7666,27.51065,5.11247,5.77378,2.224e+11,1142.02502006,1.2305176173
7667,27.52938,5.15543,5.83423,25140000000.0,1142.97017616,1.23236362532
7668,29.36456,1.72495,8.30304,23640000000.0,1143.0859858,1.23258981602
7669,50.75689,48.45639,37.85233,65600000000.0,1143.19432385,1.23280141378
7670,2.83415,2.92357,53.10213,24140000000.0,1143.26903975,1.23294734326
7671,54.98979,18.8174,15.08939,87070000000.0,1143.28771873,1.23298382564
7672,7.91855,52.93527,46.20185,26470000000.0,1143.40352837,1.23321001634
7673,57.85615,15.23681,16.99464,40460000000.0,1143.62394026,1.23364050833
7674,62.93101,43.63659,21.69133,22980000000.0,1143.66129821,1.23371347307
7675,48.77505,43.91573,44.42645,86410000000.0,1143.7397499,1.23386669903
7676,57.77825,39.47182,42.54249,2.667e+11,1143.76216467,1.23391047788
7677,50.17057,60.01778,35.62725,33960000000.0,1143.94521862,1.23426800512
7678,52.55058,37.24505,25.59649,31130000000.0,1144.22540324,1.2348152407
7679,7.9557,52.92996,46.18201,35800000000.0,1144.56162478,1.23547192339
7680,27.50025,4.9053,5.96047,41460000000.0,1144.93520426,1.23620157083
7681,48.74307,43.91444,44.4358,1.061e+11,1144.95014744,1.23623075672
7682,28.48922,62.68223,28.09575,48110000000.0,1145.04727811,1.23642046506
7683,28.2632,2.74006,7.61267,29970000000.0,1145.35361329,1.23701877595
7684,9.18247,4.94368,53.93371,28800000000.0,1145.60391154,1.23750763974
7685,8.40514,49.77346,48.30177,23470000000.0,1145.68236324,1.2376608657
7686,35.74967,62.91224,35.5126,1.542e+11,1145.83926662,1.23796731762
7687,48.73934,43.90786,44.44685,2.609e+11,1145.91398252,1.23811324711
7688,35.01274,60.59276,37.61861,22980000000.0,1146.04847113,1.23837592018
7689,35.74444,62.89791,35.52678,2.133e+11,1146.10077226,1.23847807083
7690,48.69104,51.22968,32.38353,2.5e+12,1146.24646826,1.23876263332
7691,56.5083,0.91776,40.60588,1.945e+11,1146.31744836,1.23890126634
7692,30.11036,39.65274,2.12797,1.409e+11,1146.37722108,1.23901800993
7693,27.11297,45.33968,61.12446,98230000000.0,1146.64619831,1.23954335608
7694,62.63635,34.67717,45.8319,22310000000.0,1146.7283858,1.23970387852
7695,25.48819,52.13891,48.75107,1.613e+11,1146.76200795,1.23976954679
7696,30.12963,39.65076,2.16843,30630000000.0,1146.76200795,1.23976954679
7697,48.69397,51.26868,32.32998,82580000000.0,1147.04592836,1.24032407884
7698,5.71839,39.24141,51.07678,31300000000.0,1147.34852775,1.24091509326
7699,27.10803,45.31252,61.12466,1.65e+11,1147.40082888,1.2410172439
7700,57.49341,41.43537,41.64185,50940000000.0,1147.57641124,1.2413601782
7701,10.74282,40.30173,1.18703,41790000000.0,1147.69595667,1.24159366537
7702,50.31198,48.8269,4.9385,22480000000.0,1147.78935154,1.24177607723
7703,62.4811,36.70608,45.10559,40120000000.0,1147.85286006,1.2419001173
7704,15.38041,43.47256,11.43891,29800000000.0,1147.92010436,1.24203145384
7705,32.1462,59.32322,16.06788,40460000000.0,1148.35719236,1.24288514134
7706,48.73057,43.89521,44.46039,67430000000.0,1148.38707872,1.24294351313
7707,51.51931,38.74311,46.25583,41290000000.0,1148.52156734,1.24320618621
7708,60.2126,43.82814,19.35663,47450000000.0,1148.74197924,1.24363667819
7709,48.61553,51.19581,32.29202,71760000000.0,1149.05205021,1.24424228557
7710,7.80934,51.50677,47.44339,30630000000.0,1149.10808713,1.24435173268
7711,6.97012,19.53389,20.64782,22310000000.0,1149.16038826,1.24445388332
7712,25.30748,52.10307,48.7198,91070000000.0,1149.24257575,1.24461440576
7713,53.50408,47.14809,2.8559,26970000000.0,1149.24631154,1.24462170223
7714,34.66448,62.47261,35.35963,34300000000.0,1149.83283134,1.24576724871
7715,28.13772,45.50052,62.59073,91230000000.0,1149.84403872,1.24578913813
7716,34.64455,61.28988,34.61996,32960000000.0,1149.97479154,1.24604451473
7717,44.85654,40.71925,13.24176,21480000000.0,1150.10928016,1.24630718781
7718,28.60522,1.3139,9.89873,51280000000.0,1150.14663811,1.24638015255
7719,37.293,60.98405,35.79856,79250000000.0,1150.38946477,1.24685442338
7720,25.57716,52.32521,48.82679,1.232e+11,1150.97224877,1.24799267338
